STATION_LINE,LL_NAME
VAN SICLEN AV,Van Siclen Av
VERNON-JACKSON,Vernon Blvd-Jackson Av
W 4 ST-WASH SQ,West 4th St
W 8 ST-AQUARIUM,West 8th St
WAKEFIELD/241,Wakefield-241st St
WALL ST,Wall St
WEST FARMS SQ,East Tremont Av-West Farms Sq
WESTCHESTER SQ,Westchester Square-East Tremont Av
WHITEHALL S-FRY,Whitehall St
WHITLOCK AV,Whitlock Av
WILSON AV,Wilson Av
WINTHROP ST,Winthrop St
WOODHAVEN BLVD,Woodhaven Blvd
WOODLAWN,Woodlawn
WORLD TRADE CTR,World Trade Center
YORK ST,York St
ZEREGA AV,Zerega Av
