STATION_LINE,LL_NAME
BEACH 98 ST AS,Beach 98th St
BEDFORD AV L,Bedford Av
BEDFORD PK BLVD 4,Bedford Park Blvd-Lehman College
BEDFORD PK BLVD BD,Bedford Park Blvd
BEDFORD-NOSTRAN G,Bedford-Nostrand Avs
BERGEN ST 23,Bergen St
BERGEN ST FG,Bergen St
BEVERLEY ROAD BQ,Beverly Rd
BEVERLY RD 25,Beverly Rd
BLEECKER ST 6DF,Bleecker St
BOROUGH HALL 2345R,Borough Hall
BOROUGH HALL R2345,Borough Hall
BOTANIC GARDEN S2345,Botanic Gardens
BOWERY JZ,Bowery
BOWLING GREEN 45,Bowling Green
BRIARWOOD EF,Briarwood-Van Wyck Blvd
BRIGHTON BEACH BQ,Brighton Beach
BROAD CHANNEL AS,Broad Channel
BROAD ST JZ,Broad St
BROADWAY G,Broadway
BROADWAY JCT ACJLZ,Broadway Junction-East New York
BROADWAY NQW,Broadway
BRONX PARK EAST 25,Bronx Park East
BROOK AV 6,Brook Av
BROOKLYN BRIDGE 456JZ,Brooklyn Bridge-City Hall
BUHRE AV 6,Buhre Av
BURKE AV 25,Burke Av
BURNSIDE AV 4,Burnside Av
BUSHWICK AV L,Bushwick Av
CANAL ST 1,Canal St
CANAL ST ACE,Canal St
CANAL ST JNQRZ6W,Canal St
CANARSIE-ROCKAW L,Canarsie - Rockaway Parkway
CARROLL ST FG,Carroll St
CASTLE HILL AV 6,Castle Hill Av
CATHEDRAL PKWY 1,Cathedral Parkway-110th St
CATHEDRAL PKWY BC,Cathedral Parkway-110th St
CENTRAL AV M,Central Av
CENTRAL PK N110 23,110th St-Central Park North
CHAMBERS ST 123,Chambers St
CHAMBERS ST ACE23,Chambers St
CHAMBERS ST JZ456,Chambers St
CHAUNCEY ST JZ,Chauncey St
CHRISTOPHER ST 1,Christopher St
CHURCH AV 25,Church Av
CHURCH AV BQ,Church Av
CHURCH AV FG,Church Av
CITY HALL NRW,City Hall
CLARK ST 23,Clark St
CLASSON AV G,Classon Av
CLEVELAND ST J,Cleveland St
CLINTON-WASH AV C,Clinton & Washington Avs
CLINTON-WASH AV G,Clinton-Washington Avs
CONEY IS-STILLW DFNQ,Stillwell Av
CORTELYOU RD BQ,Cortelyou Rd
CORTLANDT ST RNW,Cortlandt St
COURT SQ EMG,Long Island City-Court Square
COURT SQ-23 ST EMG,Long Island City-Court Square
CRESCENT ST JZ,Crescent St
CROWN HTS-UTICA 34,Utica Av
CYPRESS AV 6,Cypress Av
CYPRESS HILLS J,Cypress Hills
DEKALB AV BDNQR,DeKalb Av
DEKALB AV L,DeKalb Av
DELANCEY/ESSEX FJMZ,Delancey St
DITMAS AV F,Ditmas Av
DYCKMAN ST 1,Dyckman St
DYCKMAN ST A,Dyckman St-200th St
E 143/ST MARY'S 6,East 143rd St-St Mary's St
E 149 ST 6,East 149th St
E 180 ST 25,East 180th St
EAST 105 ST L,East 105th St
EAST BROADWAY F,East Broadway
EASTCHSTER/DYRE 5,Eastchester-Dyre Av
EASTN PKWY-MUSM 23,Eastern Parkway-Brooklyn Museum
ELDER AV 6,Elder Av
ELMHURST AV MR,Elmhurst Av
EUCLID AV AC,Euclid Av
FAR ROCKAWAY A,Far Rockaway-Mott Av
FLATBUSH AV-B.C 25,Flatbush Av-Brooklyn College
FLUSHING AV G,Flushing Av
FLUSHING AV JM,Flushing Av
FLUSHING-MAIN 7,Flushing-Main St
FORDHAM RD 4,Fordham Rd
FORDHAM RD BD,Fordham Rd
FOREST AVE M,Forest Av
FOREST HILLS 71 EFMR,Forest Hills-71st Av
FRANKLIN AV 2345S,Franklin Av
FRANKLIN AV ACS,Franklin Av
FRANKLIN ST 1,Franklin St
FREEMAN ST 25,Freeman St
FRESH POND RD M,Fresh Pond Rd
FT HAMILTON PKY D,Fort Hamilton Parkway
FT HAMILTON PKY FG,Fort Hamilton Parkway
FT HAMILTON PKY N,Fort Hamilton Parkway
FULTON ST 2345ACJZ,Fulton St
FULTON ST ACJZ2345,Fulton St
FULTON ST G,Fulton St
GATES AV JZ,Gates Av
GRAHAM AV L,Graham Av
GRAND ARMY PLAZ 23,Grand Army Plaza
GRAND ST BD,Grand St
GRAND ST L,Grand St
GRAND-NEWTOWN MR,Grand Av-Newtown
GRANT AV A,Grant Av
GRD CNTRL-42 ST 4567S,Grand Central-42nd St
GREENPOINT AV G,Greenpoint Av
GUN HILL RD 25,Gun Hill Rd
GUN HILL RD 5,Gun Hill Rd
HALSEY ST J,Halsey St
HALSEY ST L,Halsey St
HARLEM 148 ST 3,Harlem-148th St
HEWES ST JM,Hewes St
HIGH ST AC,High St
HOUSTON ST 1,Houston St
HOWARD BCH JFK A,Howard Beach
HOYT ST 23,Hoyt St
HOYT-SCHER ACG,Hoyt & Schermerhorn
HUNTERS PT AV 7,Hunters Point
HUNTS POINT AV 6,Hunts Point Av
INTERVALE AV 25,Intervale Av
INWOOD-207 ST A,Inwood - 207th St
JACKSON AV 25,Jackson Av
JAMAICA 179 ST F,Jamaica-179th St
JAMAICA CENTER EJZ,Parsons Blvd-Archer Av - Jamaica Center
JAMAICA VAN WK E,Jamaica-Van Wyck
JAY ST-METROTEC ACF,Jay St - Borough Hall
JAY ST-METROTEC R,Jay St - Borough Hall
JEFFERSON ST L,Jefferson St
JKSN HT-ROOSVLT EFMR7,Jackson Heights-Roosevelt Ave
JUNCTION BLVD 7,Junction Blvd
JUNIUS ST 3,Junius St
KEW GARDENS EF,Kew Gardens-Union Turnpike
KINGS HWY BQ,Kings Highway
KINGS HWY F,Kings Highway
KINGS HWY N,Kings Highway
KINGSBRIDGE RD 4,Kingsbridge Rd
KINGSBRIDGE RD BD,Kingsbridge Rd
KINGSTON AV 3,Kingston Av
KINGSTON-THROOP C,Kingston-Throop
KNICKERBOCKER M,Knickerbocker Av
KOSCIUSZKO ST J,Kosciusko St
LAFAYETTE AV C,Lafayette Av
LEXINGTON AV/53 EM6,Lexington Av-53rd St
LEXINGTON AV/63 F,Lexington Av
LIBERTY AV C,Liberty Av
LIVONIA AV L,Livonia Av
LONGWOOD AV 6,Longwood Av
LORIMER ST JM,Lorimer St
LORIMER ST LG,Lorimer St
MARBLE HILL-225 1,Marble Hill-225th St
MARCY AV JMZ,Marcy Av
