,pop_adult,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,GGX_NGDP,LP,LUR,NGAP_NPGDP,NGDP,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TMG_RPCH,TM_RPCH,TXG_RPCH,TX_RPCH,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.MA.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.ZS,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRE.TCAQ.FE.ZS,SE.PRE.TCAQ.MA.ZS,SE.PRE.TCAQ.ZS,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.PRM.NINT.FE.ZS,SE.PRM.NINT.MA.ZS,SE.PRM.NINT.ZS,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRS5.FE.ZS,SE.PRM.PRS5.MA.ZS,SE.PRM.PRS5.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCAQ.FE.ZS,SE.PRM.TCAQ.MA.ZS,SE.PRM.TCAQ.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.PO.FE.ZS,SE.SEC.CUAT.PO.MA.ZS,SE.SEC.CUAT.PO.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.CUAT.UP.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.UP.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCAQ.FE.ZS,SE.SEC.TCAQ.LO.FE.ZS,SE.SEC.TCAQ.LO.MA.ZS,SE.SEC.TCAQ.LO.ZS,SE.SEC.TCAQ.MA.ZS,SE.SEC.TCAQ.UP.FE.ZS,SE.SEC.TCAQ.UP.MA.ZS,SE.SEC.TCAQ.UP.ZS,SE.SEC.TCAQ.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.SEC.UNER.LO.FE.ZS,SE.SEC.UNER.LO.MA.ZS,SE.SEC.UNER.LO.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.DO.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.CUAT.MS.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.TER.CUAT.ST.ZS,SE.TER.ENRL.TC.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.TER.TCHR.FE.ZS,SE.XPD.CPRM.ZS,SE.XPD.CSEC.ZS,SE.XPD.CTER.ZS,SE.XPD.CTOT.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.PC.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.PC.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS_x,SP.POP.1564.TO.ZS_x,SG.VAW.1549.ZS,SG.VAW.ARGU.ZS,SG.VAW.BURN.ZS,SG.VAW.GOES.ZS,SG.VAW.NEGL.ZS,SG.VAW.REAS.ZS,SG.VAW.REFU.ZS,SH.ANM.ALLW.ZS,SH.ANM.CHLD.ZS,SH.ANM.NPRG.ZS,SH.CON.1524.FE.ZS,SH.DTH.0514,SH.DTH.COMM.ZS,SH.DTH.IMRT,SH.DTH.INJR.ZS,SH.DTH.MORT,SH.DTH.NCOM.ZS,SH.DTH.NMRT,SH.DYN.0514,SH.DYN.AIDS.FE.ZS,SH.DYN.AIDS.ZS,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DYN.NCOM.ZS,SH.DYN.NMRT,SH.FPL.SATM.ZS,SH.H2O.BASW.RU.ZS,SH.H2O.BASW.UR.ZS,SH.H2O.BASW.ZS,SH.H2O.SMDW.RU.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.SMDW.ZS,SH.HIV.0014,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.HIV.ARTC.ZS,SH.HIV.INCD,SH.HIV.INCD.14,SH.HIV.INCD.TL,SH.HIV.INCD.ZS,SH.HIV.PMTC.ZS,SH.IMM.HEPB,SH.IMM.IDPT,SH.IMM.MEAS,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.MED.PHYS.ZS,SH.MED.SAOP.P5,SH.MLR.INCD.P3,SH.MLR.NETS.ZS,SH.MLR.TRET.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.PRG.ANEM,SH.PRV.SMOK,SH.PRV.SMOK.FE,SH.PRV.SMOK.MA,SH.SGR.CRSK.ZS,SH.SGR.IRSK.ZS,SH.SGR.PROC.P5,SH.STA.ANVC.ZS,SH.STA.ARIC.ZS,SH.STA.BASS.RU.ZS,SH.STA.BASS.UR.ZS,SH.STA.BASS.ZS,SH.STA.BFED.ZS,SH.STA.BRTC.ZS,SH.STA.FGMS.ZS,SH.STA.HYGN.RU.ZS,SH.STA.HYGN.UR.ZS,SH.STA.HYGN.ZS,SH.STA.MALN.FE.ZS,SH.STA.MALN.MA.ZS,SH.STA.MALN.ZS,SH.STA.MMRT,SH.STA.MMRT.NE,SH.STA.ODFC.RU.ZS,SH.STA.ODFC.UR.ZS,SH.STA.ODFC.ZS,SH.STA.ORCF.ZS,SH.STA.ORTH,SH.STA.OWGH.FE.ZS,SH.STA.OWGH.MA.ZS,SH.STA.OWGH.ZS,SH.STA.POIS.P5,SH.STA.POIS.P5.FE,SH.STA.POIS.P5.MA,SH.STA.SMSS.RU.ZS,SH.STA.SMSS.UR.ZS,SH.STA.SMSS.ZS,SH.STA.STNT.FE.ZS,SH.STA.STNT.MA.ZS,SH.STA.STNT.ZS,SH.STA.SUIC.FE.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.P5,SH.STA.TRAF.P5,SH.STA.WAST.FE.ZS,SH.STA.WAST.MA.ZS,SH.STA.WAST.ZS,SH.SVR.WAST.FE.ZS,SH.SVR.WAST.MA.ZS,SH.SVR.WAST.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.UHC.NOP1.CG,SH.UHC.NOP1.TO,SH.UHC.NOP1.ZG,SH.UHC.NOP1.ZS,SH.UHC.NOP2.CG,SH.UHC.NOP2.TO,SH.UHC.NOP2.ZG,SH.UHC.NOP2.ZS,SH.UHC.OOPC.10.TO,SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.25.TO,SH.UHC.OOPC.25.ZS,SH.UHC.SRVS.CV.XD,SH.VAC.TTNS.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.PC.CD,SH.XPD.EHEX.PP.CD,SH.XPD.GHED.CH.ZS,SH.XPD.GHED.GD.ZS,SH.XPD.GHED.GE.ZS,SH.XPD.GHED.PC.CD,SH.XPD.GHED.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.XPD.PVTD.CH.ZS,SH.XPD.PVTD.PC.CD,SH.XPD.PVTD.PP.CD,SM.POP.REFG,SM.POP.REFG.OR,SM.POP.TOTL,SM.POP.TOTL.ZS,SN.ITK.DEFC.ZS,SN.ITK.VITA.ZS,SP.ADO.TFRT,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.CONM.ZS,SP.DYN.CONU.ZS,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.TFRT.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.DYN.WFRT,SP.HOU.FEMA.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SP.MTR.1519.ZS,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0014.FE.IN,SP.POP.0014.FE.ZS,SP.POP.0014.MA.IN,SP.POP.0014.MA.ZS,SP.POP.0014.TO,SP.POP.0014.TO.ZS_y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.1564.FE.IN,SP.POP.1564.FE.ZS,SP.POP.1564.MA.IN,SP.POP.1564.MA.ZS,SP.POP.1564.TO,SP.POP.1564.TO.ZS_y,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.65UP.FE.IN,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.IN,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO,SP.POP.65UP.TO.ZS,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.BRTH.MF,SP.POP.DPND,SP.POP.DPND.OL,SP.POP.DPND.YG,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.REG.BRTH.FE.ZS,SP.REG.BRTH.MA.ZS,SP.REG.BRTH.RU.ZS,SP.REG.BRTH.UR.ZS,SP.REG.BRTH.ZS,SP.UWT.TFRT,most_important_feature
South Asia,0.031296574,0.09388971,0.022354694,0.067064084,0.038748138,0.0804769,0.007451565,0.007451565,0.0,0.013412816,0.0,0.0,0.008941878,0.002980626,0.031296574,0.008941878,0.028315946,0.017883755,0.001490313,0.002980626,0.013412816,0.002980626,0.017883755,0.010432191,0.0,0.022354694,0.0,0.005961252,0.031296574,0.005961252,0.001490313,0.0,0.011922504,0.002980626,0.001490313,0.016393442,0.007451565,0.017883755,0.0,0.0,0.005961252,0.0,0.005961252,0.001490313,0.002980626,0.0,0.002980626,0.016393442,0.007451565,0.001490313,0.005961252,0.005961252,0.002980626,0.002980626,0.0,0.001490313,0.007451565,0.002980626,0.023845008,0.011922504,0.0,0.0,0.001490313,0.001490313,0.0,0.0,0.0,0.004470939,0.0,0.005961252,0.0,0.001490313,0.005961252,0.0,0.023845008,0.004470939,0.0,0.0,0.0,0.0,0.0,0.0,0.011922504,0.023845008,0.0,0.007451565,0.0,0.017883755,0.007451565,0.008941878,0.005961252,0.002980626,0.007451565,0.010432191,0.019374069,0.0,0.0,0.0,0.0,0.034277197,0.004470939,0.0,0.001490313,0.0,0.0,0.0,0.0,0.013412816,0.008941878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011922504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001490313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005961252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wgt
Europe & Central Asia (excluding high income),0.0,0.06512301,0.004341534,0.039073806,0.040520985,0.07380608,0.001447178,0.00723589,0.001447178,0.004341534,0.0,0.002894356,0.001447178,0.0,0.008683068,0.0,0.0,0.00723589,0.004341534,0.002894356,0.001447178,0.018813314,0.017366135,0.013024602,0.0,0.011577424,0.0,0.005788712,0.031837918,0.017366135,0.004341534,0.001447178,0.026049204,0.001447178,0.004341534,0.010130246,0.0,0.018813314,0.001447178,0.001447178,0.005788712,0.00723589,0.0,0.0,0.001447178,0.002894356,0.0,0.018813314,0.005788712,0.00723589,0.004341534,0.0,0.0,0.0,0.002894356,0.0,0.001447178,0.0,0.0,0.002894356,0.002894356,0.00723589,0.0,0.004341534,0.0,0.0,0.0,0.0,0.002894356,0.0,0.0,0.004341534,0.0,0.001447178,0.013024602,0.0,0.0,0.0,0.0,0.002894356,0.0,0.0,0.023154847,0.01447178,0.0,0.008683068,0.0,0.024602026,0.001447178,0.0,0.001447178,0.002894356,0.002894356,0.001447178,0.017366135,0.013024602,0.0,0.0,0.0,0.0,0.00723589,0.0,0.001447178,0.0,0.001447178,0.0,0.0,0.002894356,0.0,0.0,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.004341534,0.0,0.0,0.001447178,0.002894356,0.0,0.002894356,0.001447178,0.0,0.0,0.0,0.024602026,0.0,0.002894356,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.005788712,0.001447178,0.005788712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.00723589,0.004341534,0.0,0.002894356,0.002894356,0.0,0.0,0.0,0.0,0.001447178,0.0,0.004341534,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002894356,0.0,0.0,0.0,0.0,0.0,0.010130246,0.0,0.0,0.0,0.001447178,0.0,0.024602026,0.008683068,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.004341534,0.008683068,0.0,0.002894356,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.001447178,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004341534,0.002894356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.004341534,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004341534,0.001447178,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.005788712,0.010130246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.001447178,0.0,0.0,0.0,0.0,0.001447178,0.001447178,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.005788712,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.011577424,0.0,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.0,0.0,0.0,0.001447178,0.004341534,0.0,0.0,0.001447178,0.0,0.001447178,0.002894356,0.0,0.0,0.0,0.0,0.0,0.0,0.002894356,0.0,0.004341534,0.0,0.0,0.0,0.0,0.0,0.004341534,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004341534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004341534,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.002894356,0.001447178,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.004341534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002894356,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002894356,0.0,0.0,0.0,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.002894356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002894356,0.0,0.001447178,0.001447178,0.0,0.002894356,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.0,0.0,0.001447178,0.001447178,0.0,0.0,0.0,0.001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004341534,0.0,0.0,0.0,0.0,0.0,0.001447178,0.0,0.002894356,0.0,0.0,0.0,0.0,0.0,0.0,inc_q
